gID	cind
NM_006540	6
NM_006633	6
NM_006704	6
NM_006887	6
NM_007277	6
NM_007358	6
NM_012154	6
NM_012238	6
NM_012287	6
NM_012290	6
NM_012388	6
NM_013260	6
NM_014149	6
NM_014154	6
NM_014319	6
NM_014508	6
NM_014616	6
NM_014798	6
NM_014810	6
NM_014828	6
NM_014851	6
NM_014897	6
NM_014959	6
NM_015088	6
NM_015093	6
NM_015208	6
NM_015255	6
NM_015335	6
NM_015343	6
NM_015358	6
NM_015382	6
NM_015384	6
NM_015633	6
NM_015683	6
NM_015885	6
NM_015891	6
NM_015948	6
NM_015995	6
NM_016166	6
NM_016217	6
NM_016245	6
NM_016340	6
NM_016436	6
NM_016466	6
NM_016481	6
NM_016649	6
NM_017440	6
NM_017523	6
NM_017631	6
NM_017654	6
NM_017668	6
NM_017873	6
NM_017934	6
NM_017988	6
NM_018047	6
NM_018151	6
NM_018165	6
NM_018169	6
NM_018223	6
NM_018225	6
NM_018309	6
NM_018313	6
NM_018353	6
NM_018364	6
NM_018527	6
NM_019001	6
NM_019112	6
NM_020119	6
NM_020128	6
NM_020231	6
NM_020307	6
NM_020317	6
NM_020640	6
NM_020674	6
NM_020679	6
NM_020701	6
NM_020745	6
NM_020940	6
NM_020948	6
NM_021038	6
NM_021140	6
NM_021222	6
NM_021230	6
NM_021249	6
NM_021964	6
NM_022074	6
NM_022373	6
NM_022781	6
NM_022840	6
NM_024316	6
NM_024541	6
NM_024558	6
NM_024617	6
NM_024633	6
NM_024660	6
NM_024667	6
NM_024742	6
NM_025112	6
NM_025231	6
NM_030793	6
NM_031454	6
NM_032164	6
NM_032305	6
NM_032334	6
NM_032548	6
NM_032725	6
NM_032765	6
NM_032809	6
NM_032886	6
NM_032901	6
NM_032907	6
NM_033308	6
NM_052942	6
NM_052951	6
NM_053005	6
NM_133325	6
NM_133328	6
NM_138287	6
NM_138699	6
NM_139178	6
NM_144643	6
NM_145808	6
NM_145911	6
NM_148894	6
NM_152233	6
NM_152551	6
NM_152649	6
NM_170606	6
NM_173829	6
NM_174983	6
NM_175066	6
NM_175866	6
NM_176814	6
NM_181616	6
NM_182490	6
NM_194328	6
NM_194331	6
NM_198267	6
NM_199163	6
NM_201265	6
NM_203301	6
NM_203458	6
NM_206876	6
NM_207293	6
NM_000310	7
NM_000317	7
NM_000516	7
NM_000701	7
NM_001004060	7
NM_001005415	7
NM_001009552	7
NM_001009993	7
NM_001025205	7
NM_001025579	7
NM_001030011	7
NM_001031696	7
NM_001031706	7
NM_001032396	7
NM_001119	7
NM_001130	7
NM_001183	7
NM_001376	7
NM_001518	7
NM_001642	7
NM_001659	7
NM_001690	7
NM_001693	7
NM_001694	7
NM_001757	7
NM_001834	7
NM_001894	7
NM_001947	7
NM_002032	7
NM_002072	7
NM_002074	7
NM_002356	7
NM_002622	7
NM_002734	7
NM_002746	7
NM_002778	7
NM_002836	7
NM_002865	7
NM_002868	7
NM_002869	7
NM_003473	7
NM_003749	7
NM_003896	7
NM_004486	7
NM_004531	7
NM_004566	7
NM_004578	7
NM_004637	7
NM_004642	7
NM_005102	7
NM_005271	7
NM_005343	7
NM_005439	7
NM_005443	7
NM_005614	7
NM_005669	7
NM_005724	7
NM_005735	7
NM_005765	7
NM_006009	7
NM_006224	7
NM_006364	7
NM_006521	7
NM_006549	7
NM_006570	7
NM_006698	7
NM_006848	7
NM_006908	7
NM_007008	7
NM_007285	7
NM_012233	7
NM_012264	7
NM_012268	7
NM_012296	7
NM_012428	7
NM_013342	7
NM_013444	7
NM_014023	7
NM_014056	7
NM_014183	7
NM_014287	7
NM_014335	7
NM_014341	7
